link,name,avgRating,numOfRating,category,price,plusCode,
https://www.google.com/maps/place/TIA+Wellness+Resort/data=!4m10!3m9!1s0x31421744216244cf:0x11908a5e23ec76fd!5m2!4m1!1i2!8m2!3d16.0308057!4d108.2538815!16s%2Fg%2F1tdkp88n!19sChIJz0RiIUQXQjER_XbsI16KkBE?authuser=0&hl=vi&rclk=1,TIA Wellness Resort,"4,5",(898),Khách sạn 5 sao,"11,2 Tr",,
https://www.google.com/maps/place/S%C6%A1n+Tr%C3%A0+Resort/data=!4m10!3m9!1s0x31423d8633c84e4b:0xed92b277779d6de6!5m2!4m1!1i2!8m2!3d16.106287!4d108.295063!16s%2Fg%2F1tplh6ny!19sChIJS07IM4Y9QjER5m2dd3eyku0?authuser=0&hl=vi&rclk=1,Sơn Trà Resort,"4,1",(499),Khách sạn 4 sao,"2,31 Tr",,
https://www.google.com/maps/place/Temple+Da+Nang+The+Resort+Experience/data=!4m10!3m9!1s0x31421785d035f577:0xa82c5cdbb71959ff!5m2!4m1!1i2!8m2!3d16.0749218!4d108.2457909!16s%2Fg%2F1hc3jnxrk!19sChIJd_U10IUXQjER_1kZt9tcLKg?authuser=0&hl=vi&rclk=1,Temple Da Nang The Resort Experience,"4,0",(849),Khách sạn 3 sao,"1,67 Tr",,
https://www.google.com/maps/place/Tien+Sa+Retreat+Da+Nang/data=!4m10!3m9!1s0x314222bc8b2573b7:0xefa16e80905357d3!5m2!4m1!1i2!8m2!3d16.1217221!4d108.2193932!16s%2Fg%2F11c52rsdkk!19sChIJt3Mli7wiQjER01dTkIBuoe8?authuser=0&hl=vi&rclk=1,Tien Sa Retreat Da Nang,"4,0",(395),Khách sạn 3 sao,"1,11 Tr",,
https://www.google.com/maps/place/Pullman+Danang+Beach+Resort/data=!4m10!3m9!1s0x314217686dfcf229:0xa17b1ae3b14af658!5m2!4m1!1i2!8m2!3d16.0405647!4d108.2500872!16s%2Fg%2F1ts3c2xn!19sChIJKfL8bWgXQjERWPZKseMae6E?authuser=0&hl=vi&rclk=1,Pullman Danang Beach Resort,"4,6",(1.825),Khách sạn 5 sao,"4,72 Tr",,
https://www.google.com/maps/place/Premier+Village+Danang+Resort/data=!4m10!3m9!1s0x314217ee7fc93097:0xe2e00cfbad1b85a5!5m2!4m1!1i2!8m2!3d16.0417092!4d108.2501712!16s%2Fg%2F11j83qqb08!19sChIJlzDJf-4XQjERpYUbrfsM4OI?authuser=0&hl=vi&rclk=1,Premier Village Danang Resort,"4,8",(50),Khách sạn,290 N,, 
https://www.google.com/maps/place/Olalani+Resort+%26+Condotel/data=!4m10!3m9!1s0x314217e678657477:0x75628cdb4df40041!5m2!4m1!1i2!8m2!3d16.0297!4d108.2557!16s%2Fg%2F1tfjc0dd!19sChIJd3RleOYXQjERQQD0TduMYnU?authuser=0&hl=vi&rclk=1,Olalani Resort & Condotel,"4,1",(732),Khách sạn 5 sao,"2,57 Tr",,
https://www.google.com/maps/place/Resort+Villa+Beach+Da+Nang/data=!4m10!3m9!1s0x31421188ea0b800f:0xf634a8b2aea8dfe0!5m2!4m1!1i2!8m2!3d15.9746674!4d108.2819414!16s%2Fg%2F11h0by8lpf!19sChIJD4AL6ogRQjER4N-orrKoNPY?authuser=0&hl=vi&rclk=1,Resort Villa Beach Da Nang,"4,5",(6),Khách sạn,"9,28 Tr",,
https://www.google.com/maps/place/Resort+Villa+Beach+Da+Nang/data=!4m10!3m9!1s0x31421188ea0b800f:0xf634a8b2aea8dfe0!5m2!4m1!1i2!8m2!3d15.9746674!4d108.2819414!16s%2Fg%2F11h0by8lpf!19sChIJD4AL6ogRQjER4N-orrKoNPY?authuser=0&hl=vi&rclk=1,Resort Villa Beach Da Nang,"4,5",(6),Khách sạn,"9,28 Tr",,
https://www.google.com/maps/place/Meli%C3%A1+Danang/data=!4m10!3m9!1s0x314210c5cab81527:0xfd5b35311bbbd0fc!5m2!4m1!1i2!8m2!3d16.0005344!4d108.269255!16s%2Fg%2F1q67pwtd0!19sChIJJxW4ysUQQjER_NC7GzE1W_0?authuser=0&hl=vi&rclk=1,Meliá Danang,"4,4",(1.571),Khách sạn 4 sao,"2,36 Tr",,
