link,name,avgRating,numOfRating,category,plusCode
https://www.google.com/maps/place/LIBRE+Bar%F0%9F%8D%B9DaNang/data=!4m7!3m6!1s0x3142183082dac5bd:0x477cb166502e4808!8m2!3d16.0726704!4d108.2210485!16s%2Fg%2F11f2dsmrbv!19sChIJvcXagjAYQjERCEguUGaxfEc?authuser=0&hl=vi&rclk=1,LIBRE Bar🍹DaNang,"4,7",(135),Quán bar,125a Nguyễn Chí Thanh
https://www.google.com/maps/place/BUNNY+Girls+Bar+%26+Lounge/data=!4m7!3m6!1s0x314217cae04e758d:0x7a2d4547ef70d928!8m2!3d16.0687315!4d108.2422963!16s%2Fg%2F11fnx225lm!19sChIJjXVO4MoXQjERKNlw70dFLXo?authuser=0&hl=vi&rclk=1,BUNNY Girls Bar & Lounge,"4,2",(80),Quán bar tiếp viên nữ,47 D. Đình Nghệ
https://www.google.com/maps/place/Simple+Man+Pub/data=!4m7!3m6!1s0x3142183034013139:0x1aca385263a54843!8m2!3d16.0761559!4d108.2290293!16s%2Fg%2F11g8_nmvhv!19sChIJOTEBNDAYQjERQ0ilY1I4yho?authuser=0&hl=vi&rclk=1,Simple Man Pub,"4,4",(132),Quán bar,267 Đ. Trần Hưng Đạo
https://www.google.com/maps/place/T%C3%AA+Bar/data=!4m7!3m6!1s0x314219710e8c9b61:0x1391dededb5dfbad!8m2!3d16.0679317!4d108.2234571!16s%2Fg%2F11fmbbtn2p!19sChIJYZuMDnEZQjERrftd297ekRM?authuser=0&hl=vi&rclk=1,Tê Bar,"4,7",(163),Quán bar cocktail,"3rd Floor, 39-41 Nguyễn Thái Học"
https://www.google.com/maps/place/The+Dude+Bar/data=!4m7!3m6!1s0x314219d8118c6fb3:0x272ce455a91ab84b!8m2!3d16.0652259!4d108.2239784!16s%2Fg%2F11f6gv1v63!19sChIJs2-MEdgZQjERS7gaqVXkLCc?authuser=0&hl=vi&rclk=1,The Dude Bar,"4,0",(67),Quán bar,210 Bạch Đằng
https://www.google.com/maps/place/Sky+Pub/data=!4m7!3m6!1s0x31421832c13ef69b:0x2b28c3cc5d90c18d!8m2!3d16.0651072!4d108.2240284!16s%2Fg%2F11dx9wyspp!19sChIJm_Y-wTIYQjERjcGQXczDKCs?authuser=0&hl=vi&rclk=1,Sky Pub,"4,0",(120),Quán bar,214 Bạch Đằng
https://www.google.com/maps/place/TOP+TV+Club/data=!4m7!3m6!1s0x314219af33ef3aa7:0x5e4aac9ac86acd0a!8m2!3d16.0442485!4d108.2236548!16s%2Fg%2F11lt47ll7b!19sChIJpzrvM68ZQjERCs1qyJqsSl4?authuser=0&hl=vi&rclk=1,TOP TV Club,"4,1",(125),Quán bar,"26VF+MFR, Khu Bắc tượng đài, Đ. 2 Tháng 9"
https://www.google.com/maps/place/Marine+Sky+Bar/data=!4m7!3m6!1s0x3142175d916fa581:0x7afd524254129635!8m2!3d16.0496805!4d108.2477527!16s%2Fg%2F11j0r9nt72!19sChIJgaVvkV0XQjERNZYSVEJS_Xo?authuser=0&hl=vi&rclk=1,Marine Sky Bar,"5,0",(70),Quán bar,56 Trần Bạch Đằng
https://www.google.com/maps/place/%C4%90i%E1%BB%83m+N%C3%B3ng+Club/data=!4m7!3m6!1s0x314219b1187927bf:0x439ea7c980ac0266!8m2!3d16.0573808!4d108.2069542!16s%2Fg%2F11cnb73pc1!19sChIJvyd5GLEZQjERZgKsgMmnnkM?authuser=0&hl=vi&rclk=1,Điểm Nóng Club,"4,0",(179),Quán bar,37 Nguyễn Tri Phương
https://www.google.com/maps/place/Karma+Lounge+Da+Nang/data=!4m7!3m6!1s0x314219716be1e551:0x42ae6ac264bc3705!8m2!3d16.0662114!4d108.2240377!16s%2Fg%2F11nrvx47_7!19sChIJUeXha3EZQjERBTe8ZMJqrkI?authuser=0&hl=vi&rclk=1,Karma Lounge Da Nang,"4,5",(60),Quán bar,6 Trần Quốc Toản
https://www.google.com/maps/place/The+Dawn+Beach+bar/data=!4m7!3m6!1s0x31421783b29af121:0x483da81efdd6ed17!8m2!3d16.0648001!4d108.2459082!16s%2Fg%2F11cn9m77r5!19sChIJIfGasoMXQjERF-3W_R6oPUg?authuser=0&hl=vi&rclk=1,The Dawn Beach bar,"4,2",(306),Quán bar,
