link,name,avgRating,numOfRating,category,plusCode,price
https://www.google.com/maps/place/Qu%C3%A1n+Nh%E1%BA%ADu+Minh+%C4%90en+c%C6%A1+s%E1%BB%9F+1+-+Qu%C3%A1n+nh%E1%BA%ADu+%C4%91%E1%BA%B7c+s%E1%BA%A3n+g%C3%A0+n%C6%B0%E1%BB%9Bng+ngon+gi%C3%A1+r%E1%BA%BB+b%C3%ACnh+d%C3%A2n+t%E1%BA%A1i+Li%C3%AAn+Chi%E1%BB%83u/data=!4m7!3m6!1s0x31421f3561180729:0xad6c71999f225421!8m2!3d16.0969057!4d108.1341108!16s%2Fg%2F11pvl46hcm!19sChIJKQcYYTUfQjERIVQin5lxbK0?authuser=0&hl=vi&rclk=1,Quán Nhậu Minh Đen cơ sở 1 - Quán nhậu đặc sản gà nướng ngon giá rẻ bình dân tại Liên Chiểu,,0,Quán bia,Lô 143 Võ Duy Dương,
https://www.google.com/maps/place/Qu%C3%A1n+nh%E1%BA%ADu+T%C3%A0i/data=!4m7!3m6!1s0x31421751cb0ba139:0xa1dfa2dec7dff892!8m2!3d16.0688349!4d108.2400706!16s%2Fg%2F11j8zwfwt6!19sChIJOaELy1EXQjERkvjfx96i36E?authuser=0&hl=vi&rclk=1,Quán nhậu Tài,4.2,23,Nhà hàng,68 Đường Chính Hữu,
https://www.google.com/maps/place/Qu%C3%A1n+Nh%E1%BA%ADu+Cu+Nam/data=!4m7!3m6!1s0x314219773ed80617:0xb3ae67fb4eb0ebb4!8m2!3d16.0405247!4d108.2173153!16s%2Fg%2F11gxrwbs7c!19sChIJFwbYPncZQjERtOuwTvtnrrM?authuser=0&hl=vi&rclk=1,Quán Nhậu Cu Nam,4.0,35,Nhà hàng,"26R8+6W4, 30 Tháng 4",
https://www.google.com/maps/place/Qu%C3%A1n+Nh%E1%BA%ADu+Lyly2+%C4%90%C3%A0+N%E1%BA%B5ng/data=!4m7!3m6!1s0x3142199288f71c41:0xfb8c5bf40c0c10ae!8m2!3d16.0777128!4d108.1730725!16s%2Fg%2F11gw36gcfy!19sChIJQRz3iJIZQjERrhAMDPRbjPs?authuser=0&hl=vi&rclk=1,Quán Nhậu Lyly2 Đà Nẵng,3.9,29,Nhà hàng,"35HF+36P, Nguyễn Tất Thành",
https://www.google.com/maps/place/Qu%C3%A1n+nh%E1%BA%ADu+B%C3%A9+Ni/data=!4m7!3m6!1s0x314219f6b78c943d:0x133484baa07343da!8m2!3d16.0612177!4d108.2360724!16s%2Fg%2F11gr6kfhm7!19sChIJPZSMt_YZQjER2kNzoLqENBM?authuser=0&hl=vi&rclk=1,Quán nhậu Bé Ni,2.0,1,Nhà hàng,"366P+FCP, An Trung Đông 3",
https://www.google.com/maps/place/Qu%C3%A1n+%C4%90%C3%B4ng+Ph%C6%B0%C6%A1ng/data=!4m7!3m6!1s0x31421846f79de1e7:0x9418e7c507d52772!8m2!3d16.0791988!4d108.2103197!16s%2Fg%2F1tcvrb2r!19sChIJ5-Gd90YYQjERcifVB8XnGJQ?authuser=0&hl=vi&rclk=1,Quán Đông Phương,4.0,388,Món ăn Việt Nam,255 Nguyễn Tất Thành,
https://www.google.com/maps/place/Qu%C3%A1n+nh%E1%BA%ADu+C%E1%BB%95+K%C3%BD/data=!4m7!3m6!1s0x3142181b9b1c2f25:0x4eb2db3d373d15d5!8m2!3d16.0937494!4d108.2308705!16s%2Fg%2F11dymmgl47!19sChIJJS8cmxsYQjER1RU9Nz3bsk4?authuser=0&hl=vi&rclk=1,Quán nhậu Cổ Ký,4.0,242,Nhà hàng,Đường Hồ Hán Thương,
https://www.google.com/maps/place/Nh%C3%B3p+Nh%C3%A9p+L%E1%BA%A9u%26N%C6%B0%E1%BB%9Bng/data=!4m7!3m6!1s0x314219cb58d3bbdd:0x25ffc0cbbe08edb3!8m2!3d16.0721698!4d108.2175265!16s%2Fg%2F11b7q81khj!19sChIJ3bvTWMsZQjERs-0IvsvA_yU?authuser=0&hl=vi&rclk=1,Nhóp Nhép Lẩu&Nướng,4.0,383,Nhà hàng,45 Hải Phòng,
https://www.google.com/maps/place/Qu%C3%A1n+L%E1%BB%99ng+Gi%C3%B3/data=!4m7!3m6!1s0x314218230a7c4dfd:0x15dfc882f70571f!8m2!3d16.0821987!4d108.2288681!16s%2Fg%2F1hc4hnr00!19sChIJ_U18CiMYQjERH1dwL4j8XQE?authuser=0&hl=vi&rclk=1,Quán Lộng Gió,3.8,263,Đồ hải sản,51 Đ. Trần Hưng Đạo,
https://www.google.com/maps/place/Qu%C3%A1n+nh%E1%BA%ADu+62/data=!4m7!3m6!1s0x314219b48ccd7d3d:0xbb9e0d908b2c7021!8m2!3d16.0643587!4d108.2093546!16s%2Fg%2F11f_z_yj_1!19sChIJPX3NjLQZQjERIXAsi5ANnrs?authuser=0&hl=vi&rclk=1,Quán nhậu 62,3.8,467,Nhà hàng,62 Văn Cao,
