link,name,avgRating,numOfRating,category,plusCode
https://www.google.com/maps/place/Nh%C3%A0+h%C3%A0ng+Ngon+Th%E1%BB%8B+Hoa/data=!4m7!3m6!1s0x314217f73d08ac15:0x8e8c11da1f1becf!8m2!3d16.0489222!4d108.245814!16s%2Fg%2F11j79lpf_3!19sChIJFawIPfcXQjERz77xoR3B6Ag?authuser=0&hl=vi&rclk=1,Nhà hàng Ngon Thị Hoa,"4,3",(359),Món ăn Việt Nam,100 Lê Quang Đạo
https://www.google.com/maps/place/B%E1%BA%BFp+Cu%E1%BB%91n+%C4%90%C3%A0+N%E1%BA%B5ng/data=!4m7!3m6!1s0x314217f4632748f9:0xdc14dcdba4c73425!8m2!3d16.0541791!4d108.2395306!16s%2Fg%2F11hz90gsyw!19sChIJ-UgnY_QXQjERJTTHpNvcFNw?authuser=0&hl=vi&rclk=1,Bếp Cuốn Đà Nẵng,"4,7",(662),Món ăn Việt Nam,54 Nguyễn Văn Thoại
https://www.google.com/maps/place/Memory/data=!4m7!3m6!1s0x31421830317570af:0x5707aa2416979d3b!8m2!3d16.0727548!4d108.225102!16s%2Fg%2F1tjdj746!19sChIJr3B1MTAYQjERO52XFiSqB1c?authuser=0&hl=vi&rclk=1,Memory,"4,2",(818),Nhà hàng,7 Bạch Đằng
https://www.google.com/maps/place/Olivia's+Prime+Steakhouse/data=!4m7!3m6!1s0x3142182cee8d1063:0xa592e9db7f8ec2e!8m2!3d16.0630278!4d108.2302443!16s%2Fg%2F11c75pt81k!19sChIJYxCN7iwYQjERLuz4t50uWQo?authuser=0&hl=vi&rclk=1,Olivia's Prime Steakhouse,"4,5",(685),Bít tết,505 Đ. Trần Hưng Đạo
https://www.google.com/maps/place/Nh%C3%A0+h%C3%A0ng+Le+Bambino/data=!4m7!3m6!1s0x3142183a7be29cbf:0x547dd886c8e23dc0!8m2!3d16.0745981!4d108.2167812!16s%2Fg%2F1pzt__gq4!19sChIJv5ziezoYQjERwD3iyIbYfVQ?authuser=0&hl=vi&rclk=1,Nhà hàng Le Bambino,"4,1",(403),Món ăn Pháp,122/11 Quang Trung
https://www.google.com/maps/place/La+Maison+1888/data=!4m7!3m6!1s0x31423d8a86291275:0xd03d25d2195d799!8m2!3d16.1220056!4d108.3061278!16s%2Fg%2F11h0mpl9wc!19sChIJdRIphoo9QjERmdeVIV3SAw0?authuser=0&hl=vi&rclk=1,La Maison 1888,"4,1",(44),Món ăn sang trọng,InterContinental Danang Sun Peninsula Resort
https://www.google.com/maps/place/'@Limoncello+Danang'/data=!4m7!3m6!1s0x31421832faa42f33:0x55d6a8dccffca6c9!8m2!3d16.0639709!4d108.2233008!16s%2Fg%2F11b5wkdl2_!19sChIJMy-k-jIYQjERyab8z9yo1lU?authuser=0&hl=vi&rclk=1,@Limoncello Danang,"4,2",(864),Món ăn Ý,212 Đ. Trần Phú
https://www.google.com/maps/place/Nh%C3%A0+H%C3%A0ng+Kh%C3%B4ng+Gian+VIP/data=!4m7!3m6!1s0x314219b96a150299:0xe04ea66a09467809!8m2!3d16.0492669!4d108.207966!16s%2Fg%2F11c74cg6pv!19sChIJmQIVarkZQjERCXhGCWqmTuA?authuser=0&hl=vi&rclk=1,Nhà Hàng Không Gian VIP,"3,8",(243),Nhà hàng,34 Nguyễn Hữu Thọ
https://www.google.com/maps/place/The+Grill/data=!4m7!3m6!1s0x31421119e498c9db:0x899bced5a8fba3ca!8m2!3d15.9811459!4d108.2781866!16s%2Fg%2F11g0snc_57!19sChIJ28mY5BkRQjERyqP7qNXOm4k?authuser=0&hl=vi&rclk=1,The Grill,"4,5",(53),Bít tết,35 Trường Sa
https://www.google.com/maps/place/Nh%C3%A0+H%C3%A0ng+Jollibee+Th%E1%BB%A9+Hai+T%E1%BA%A1i+%C4%90%C3%A0+N%E1%BA%B5ng/data=!4m7!3m6!1s0x3142196c8ed1b735:0xb029d2dffe5cd76b!8m2!3d16.0465301!4d108.2212329!16s%2Fg%2F11fd726y2l!19sChIJNbfRjmwZQjERa9dc_t_SKbA?authuser=0&hl=vi&rclk=1,Nhà Hàng Jollibee Thứ Hai Tại Đà Nẵng,"3,4",(7),Món ăn nhanh,32 Tiểu La
