link,name,avgRating,numOfRating,category,plusCode,price
https://www.google.com/maps/place/B%C3%A3i+%C4%90%C3%A1/data=!4m7!3m6!1s0x314216271e640d0d:0xb1b7b712789ee67c!8m2!3d16.0991353!4d108.3008352!16s%2Fg%2F11cn5l5mz2!19sChIJDQ1kHicWQjERfOaeeBK3t7E?authuser=0&hl=vi&rclk=1,Bãi Đá,4.2,810,Bãi biển,,
https://www.google.com/maps/place/B%C3%A3i+bi%E1%BB%83n+Non+N%C6%B0%E1%BB%9Bc/data=!4m7!3m6!1s0x314210dcc92cfa5f:0x6426dff2323ae607!8m2!3d15.9955335!4d108.2738648!16s%2Fg%2F11bzx4c0l0!19sChIJX_osydwQQjERB-Y6MvLfJmQ?authuser=0&hl=vi&rclk=1,Bãi biển Non Nước,4.4,77,Bãi biển,,
https://www.google.com/maps/place/Bi%E1%BB%83n+Ph%C6%B0%E1%BB%9Bc+M%E1%BB%B9/data=!4m7!3m6!1s0x314217f5d59f60ef:0x5549fd4bf94bb8df!8m2!3d16.070326!4d108.2466193!16s%2Fg%2F11hz1hj_gt!19sChIJ72Cf1fUXQjER37hL-Uv9SVU?authuser=0&hl=vi&rclk=1,Biển Phước Mỹ,4.8,12,Điểm thu hút khách du lịch,"36CW+4JQ, Võ Nguyên Giáp",
https://www.google.com/maps/place/B%C3%A3i+t%E1%BA%AFm+T20/data=!4m7!3m6!1s0x3142177a6e5eac21:0x87bf7b4edcc4434!8m2!3d16.0398823!4d108.2531363!16s%2Fg%2F1tw_kqkt!19sChIJIaxebnoXQjERNETM7bT3ewg?authuser=0&hl=vi&rclk=1,Bãi tắm T20,4.3,74,Bãi biển,,
https://www.google.com/maps/place/B%C3%A3i+t%E1%BA%AFm+S%C6%A1n+Th%E1%BB%A7y/data=!4m7!3m6!1s0x31421735f8be0bcd:0x511a3999cf620d07!8m2!3d16.0159387!4d108.262836!16s%2Fg%2F11btxcnjh5!19sChIJzQu--DUXQjERBw1iz5k5GlE?authuser=0&hl=vi&rclk=1,Bãi tắm Sơn Thủy,4.2,227,Bãi biển,,
https://www.google.com/maps/place/B%C3%A3i+bi%E1%BB%83n+M%C3%A2n+Th%C3%A1i/data=!4m7!3m6!1s0x314217a90739fc13:0xe3af80100b16270!8m2!3d16.0872858!4d108.2493572!16s%2Fg%2F11h42j2v11!19sChIJE_w5B6kXQjERcGKxAAH4Og4?authuser=0&hl=vi&rclk=1,Bãi biển Mân Thái,4.5,14,Điểm thu hút khách du lịch,"36PX+WP9, Hoàng Sa",
https://www.google.com/maps/place/Qu%C3%A1n+H%E1%BA%A3i+s%E1%BA%A3n+T%C3%A2n+Tr%C3%A0+Beach/data=!4m7!3m6!1s0x3142115cc17cc2ad:0xe23b04042c7c5e24!8m2!3d15.989204!4d108.2771402!16s%2Fg%2F11fm8jsg0s!19sChIJrcJ8wVwRQjERJF58LAQEO-I?authuser=0&hl=vi&rclk=1,Quán Hải sản Tân Trà Beach,4.3,45,Điểm thu hút khách du lịch,"Ngã tư Trường Sa và, Võ Quí Huân",
https://www.google.com/maps/place/B%C3%A3i+bi%E1%BB%83n+Kim+Li%C3%AAn/data=!4m7!3m6!1s0x314221e6766caec3:0xc61e29da48a3c38b!8m2!3d16.1278744!4d108.1245155!16s%2Fg%2F11c0qgzpdz!19sChIJw65sduYhQjERi8OjSNopHsY?authuser=0&hl=vi&rclk=1,Bãi biển Kim Liên,4.5,27,Bãi biển công cộng,"44HF+4RR, Nguyễn Phước Chu",
https://www.google.com/maps/place/B%C3%A3i+Nam/data=!4m7!3m6!1s0x31423e0b91b2da5d:0x19ee9ab44055d6d4!8m2!3d16.1046475!4d108.2990988!16s%2Fg%2F11cm06bq4r!19sChIJXdqykQs-QjER1NZVQLSa7hk?authuser=0&hl=vi&rclk=1,Bãi Nam,4.3,244,Điểm thu hút khách du lịch,"473X+VJ5, Hoàng Sa",
https://www.google.com/maps/place/Gh%E1%BB%81nh+B%C3%A0ng/data=!4m7!3m6!1s0x31423df2819c425b:0xfac92c3b7e0f9926!8m2!3d16.1124336!4d108.3116322!16s%2Fg%2F1ptxkl4kn!19sChIJW0KcgfI9QjERJpkPfjssyfo?authuser=0&hl=vi&rclk=1,Ghềnh Bàng,4.4,406,Điểm thu hút khách du lịch,"Hoàng Sa, Thọ Quang, Sơn Trà",
